GeneID,Spearman,NRMSE_range
ENSDARG00000043213,1.0,0.23280086
ENSDARG00000010862,-0.5,0.60354257
ENSDARG00000074915,1.0,0.1854453
ENSDARG00000103207,1.0,0.32927743
ENSDARG00000005993,0.5,0.5780523
ENSDARG00000008573,1.0,0.0023505294
ENSDARG00000076290,0.5,0.4783584
ENSDARG00000030267,1.0,0.046841133
ENSDARG00000039892,1.0,0.2703742
ENSDARG00000071562,-0.5,1.1229585
ENSDARG00000009266,0.5,0.40475124
ENSDARG00000105276,1.0,0.047094718
ENSDARG00000036155,0.5,0.44615453
ENSDARG00000069328,0.5,0.39125302
ENSDARG00000052025,1.0,0.16697353
ENSDARG00000022845,0.5,0.18684416
ENSDARG00000025788,0.5,0.13386066
ENSDARG00000098689,0.5,0.36853677
ENSDARG00000010437,1.0,0.1433463
ENSDARG00000061437,1.0,0.24162303
ENSDARG00000079015,1.0,0.14567794
ENSDARG00000010300,1.0,0.25999102
ENSDARG00000025421,1.0,0.22618371
ENSDARG00000025420,0.5,0.5111523
ENSDARG00000024693,0.5,0.8228725
ENSDARG00000098075,1.0,0.19379424
ENSDARG00000101542,1.0,0.023139887
ENSDARG00000006240,0.5,0.22634217
ENSDARG00000054501,1.0,0.2502938
ENSDARG00000035607,1.0,0.5481598
ENSDARG00000063249,1.0,0.12013596
ENSDARG00000062363,1.0,0.014588164
ENSDARG00000007065,1.0,0.118431546
ENSDARG00000070432,0.5,0.5124438
ENSDARG00000055899,1.0,0.261246
ENSDARG00000061789,1.0,0.13952433
ENSDARG00000060510,1.0,0.07905838
ENSDARG00000043732,1.0,0.09091591
ENSDARG00000004280,1.0,0.084792204
ENSDARG00000074909,1.0,0.14599563
ENSDARG00000042946,0.5,0.19201379
ENSDARG00000044513,1.0,0.07962429
ENSDARG00000034883,-0.5,0.5336396
ENSDARG00000060594,1.0,0.36203378
ENSDARG00000100519,1.0,0.025711015
ENSDARG00000018623,1.0,0.3589814
ENSDARG00000038876,1.0,0.033357672
ENSDARG00000006010,1.0,0.48393068
ENSDARG00000002298,0.5,0.18407214
ENSDARG00000023152,1.0,0.2396108
ENSDARG00000003250,1.0,0.06033996
ENSDARG00000043021,0.5,0.36659345
ENSDARG00000010169,1.0,0.26274443
ENSDARG00000040266,1.0,0.338761
ENSDARG00000008979,1.0,0.37908483
ENSDARG00000043734,-0.5,0.585851
ENSDARG00000016866,1.0,0.24181414
ENSDARG00000027689,1.0,0.00788225
ENSDARG00000009250,1.0,0.020867173
ENSDARG00000105045,1.0,0.19388504
ENSDARG00000039913,1.0,0.024777934
ENSDARG00000086471,1.0,0.18313882
ENSDARG00000004851,0.5,0.48687536
ENSDARG00000056695,1.0,0.236267
ENSDARG00000018397,1.0,0.09710791
ENSDARG00000057513,-0.5,0.58705103
ENSDARG00000006915,0.5,0.38387606
ENSDARG00000054799,0.5,0.42865342
ENSDARG00000018918,1.0,0.23410986
ENSDARG00000053876,0.5,0.20231713
ENSDARG00000070399,1.0,0.05755734
ENSDARG00000035181,0.5,1.6322982
ENSDARG00000098317,1.0,0.22368245
ENSDARG00000034541,1.0,0.17263462
ENSDARG00000033437,0.5,0.50583947
ENSDARG00000033604,0.5,0.39287308
ENSDARG00000057867,0.5,0.3571733
ENSDARG00000026348,1.0,0.1989248
ENSDARG00000001313,1.0,0.23343296
ENSDARG00000017037,1.0,0.013240603
ENSDARG00000015474,1.0,0.12926772
ENSDARG00000101557,1.0,0.13500841
ENSDARG00000031761,1.0,0.018973002
ENSDARG00000011466,1.0,0.13764815
ENSDARG00000062521,1.0,0.16344711
ENSDARG00000015088,1.0,0.0060377484
ENSDARG00000015471,1.0,0.07701673
ENSDARG00000018738,1.0,0.16944705
ENSDARG00000056623,0.5,0.4394709
ENSDARG00000020529,1.0,0.27988827
ENSDARG00000098820,1.0,0.2502128
ENSDARG00000020494,1.0,0.07467509
ENSDARG00000068919,1.0,0.20147523
ENSDARG00000101251,1.0,0.22824231
ENSDARG00000002021,1.0,0.20437567
ENSDARG00000092123,1.0,0.09515753
ENSDARG00000098771,1.0,0.19522986
ENSDARG00000014474,-0.5,0.5616845
ENSDARG00000102874,1.0,0.07378181
ENSDARG00000030106,1.0,0.2686153
