GeneID,k_d_mean,k_p_mean,sigma_y_mean,k_d_std,k_p_std,sigma_y_std
ENSDARG00000001313,0.14,0.556,6.16,0.0753,0.064,1.59
ENSDARG00000002021,0.647,1.19,3.99,0.0699,0.0686,0.919
ENSDARG00000002298,0.498,0.7,1.58,0.0502,0.0332,0.455
ENSDARG00000002912,0.134,0.409,3.99,0.0674,0.0493,1.12
ENSDARG00000003017,0.425,0.632,3.88,0.1,0.0758,0.916
ENSDARG00000003250,1.82,1.25,2.25,0.0962,0.0464,0.59
ENSDARG00000004280,0.204,0.547,1.69,0.0292,0.0262,0.494
ENSDARG00000004851,0.757,0.619,4.82,0.191,0.107,1.09
ENSDARG00000005993,1.35,0.517,4.81,4.72,0.145,1.24
ENSDARG00000006010,0.616,0.757,2.06,0.0665,0.0447,0.555
ENSDARG00000006240,0.677,0.741,4.87,0.0955,0.0869,1.08
ENSDARG00000006257,0.641,0.619,0.763,0.0347,0.0187,0.288
ENSDARG00000006915,0.272,0.54,3.99,0.0927,0.0675,0.979
ENSDARG00000007065,0.445,0.954,2.41,0.0632,0.0489,0.639
ENSDARG00000008573,0.562,0.576,0.447,0.0153,0.00983,0.232
ENSDARG00000008979,0.971,1.15,2.24,0.083,0.058,0.592
ENSDARG00000009250,0.355,0.963,0.917,0.0191,0.0165,0.317
ENSDARG00000009266,0.219,0.364,3.79,0.0905,0.058,0.996
ENSDARG00000009640,0.105,0.889,3.87,0.0513,0.0474,1.08
ENSDARG00000010169,0.169,0.604,5.56,0.0823,0.0699,1.37
ENSDARG00000010300,0.156,0.27,1.71,0.046,0.0296,0.528
ENSDARG00000010316,0.323,0.783,0.799,0.0174,0.0142,0.299
ENSDARG00000010437,0.826,0.859,1.7,0.0576,0.0365,0.479
ENSDARG00000010862,0.772,0.65,4.21,0.188,0.0981,0.983
ENSDARG00000011466,0.115,0.618,3.72,0.0581,0.0456,1.05
ENSDARG00000013079,0.134,0.541,4.28,0.0623,0.0521,1.14
ENSDARG00000014474,0.371,0.587,3.9,0.101,0.0727,0.918
ENSDARG00000015088,0.593,0.706,0.458,0.0129,0.00985,0.241
ENSDARG00000015471,0.4,0.479,0.824,0.0224,0.0153,0.305
ENSDARG00000015474,0.342,0.662,1.91,0.0592,0.039,0.508
ENSDARG00000016866,0.811,0.713,4.06,0.123,0.0739,0.93
ENSDARG00000017037,0.0913,0.583,0.7,0.019,0.0136,0.299
ENSDARG00000017188,0.479,0.635,2.43,0.0634,0.0443,0.625
ENSDARG00000018397,0.533,0.702,1.38,0.0445,0.0287,0.425
ENSDARG00000018623,0.223,0.414,2.62,0.0563,0.0431,0.685
ENSDARG00000018738,0.206,0.611,3.07,0.0714,0.0512,0.807
ENSDARG00000018788,0.362,0.651,2.53,0.0655,0.0481,0.655
ENSDARG00000018918,0.169,0.728,7.01,0.0971,0.0778,1.75
ENSDARG00000019791,0.603,0.762,6.57,0.133,0.1,1.37
ENSDARG00000020494,0.211,0.668,1.86,0.041,0.0323,0.531
ENSDARG00000020529,0.859,1.1,6.7,0.133,0.113,1.4
ENSDARG00000021974,0.443,0.625,0.666,0.146,0.0813,0.457
ENSDARG00000022845,0.49,0.802,2.04,0.0533,0.0411,0.557
ENSDARG00000023152,0.153,0.531,5.42,0.0816,0.0611,1.42
ENSDARG00000024693,0.622,0.835,2.92,0.0865,0.0631,0.721
ENSDARG00000025420,0.288,0.583,3.56,0.203,0.247,2.22
ENSDARG00000025421,0.3,0.851,4.37,0.0881,0.0806,1.01
ENSDARG00000025693,0.129,0.577,3.97,0.0622,0.0487,1.08
ENSDARG00000025788,0.678,0.675,2.25,0.0534,0.0406,0.591
ENSDARG00000026348,0.15,0.795,5.41,0.0697,0.0762,1.36
ENSDARG00000027689,0.516,0.845,0.49,0.012,0.0103,0.242
ENSDARG00000028448,0.443,0.592,0.49,0.0166,0.011,0.251
ENSDARG00000030106,0.392,0.508,3.98,0.0921,0.0632,0.938
ENSDARG00000030267,0.254,0.667,1.23,0.0349,0.0244,0.39
ENSDARG00000030964,0.3,0.618,3.01,0.0785,0.0554,0.748
ENSDARG00000031761,0.636,0.75,0.521,0.0221,0.0129,0.248
ENSDARG00000032340,1.49,1.35,3.03,0.104,0.0628,0.729
ENSDARG00000032516,0.335,0.797,1.53,0.0384,0.0295,0.462
ENSDARG00000033437,0.43,0.714,4.98,0.143,0.101,1.12
ENSDARG00000033604,0.598,1.04,4.11,0.112,0.097,0.941
ENSDARG00000034541,1.27,1.06,2.84,0.12,0.0644,0.706
ENSDARG00000034883,0.274,0.56,5.08,0.194,0.167,3.19
ENSDARG00000035181,0.774,0.803,2.81,0.109,0.0676,0.695
ENSDARG00000035556,0.393,0.423,2.34,0.0579,0.0395,0.622
ENSDARG00000035607,0.488,0.741,3.94,0.129,0.0856,0.925
ENSDARG00000036073,0.574,0.887,4.63,0.123,0.102,1.03
ENSDARG00000036155,3.34,0.622,5.13,7.38,0.157,1.14
ENSDARG00000038876,0.759,1.12,0.843,0.022,0.018,0.308
ENSDARG00000039429,0.245,1.15,4.31,0.0512,0.0721,0.994
ENSDARG00000039892,0.202,0.639,5.16,0.0956,0.0706,1.27
ENSDARG00000039913,0.677,0.997,0.593,0.0143,0.013,0.261
ENSDARG00000040266,0.738,0.896,1.83,0.0548,0.0395,0.501
ENSDARG00000041140,0.805,0.866,0.919,0.0365,0.0222,0.321
ENSDARG00000042946,0.699,0.715,2.05,0.0683,0.042,0.553
ENSDARG00000043021,0.241,0.655,8.0,0.123,0.119,1.83
ENSDARG00000043177,0.664,0.739,3.75,0.153,0.0909,0.882
ENSDARG00000043213,0.701,1.11,4.31,0.0768,0.0795,0.986
ENSDARG00000043732,0.0878,0.477,1.67,0.058,0.0419,1.12
ENSDARG00000043734,0.413,0.69,4.42,0.108,0.0853,1.02
ENSDARG00000044513,0.775,0.803,1.11,0.0357,0.0231,0.364
ENSDARG00000045567,0.527,0.903,0.745,0.0174,0.0149,0.278
ENSDARG00000052025,0.743,0.932,2.86,0.0585,0.0514,0.702
ENSDARG00000053876,1.36,0.974,3.73,0.172,0.0816,0.887
ENSDARG00000054473,0.0944,0.522,4.58,0.0498,0.0473,1.29
ENSDARG00000054501,0.813,0.785,1.63,0.0649,0.0387,0.469
ENSDARG00000054799,0.342,0.767,8.67,0.162,0.164,1.84
ENSDARG00000055162,0.346,0.89,5.39,0.111,0.105,1.21
ENSDARG00000055899,0.192,0.821,7.15,0.102,0.0922,1.7
ENSDARG00000056102,0.185,0.629,10.6,0.12,0.131,2.47
ENSDARG00000056414,0.493,0.75,4.76,0.0735,0.0883,1.07
ENSDARG00000056623,0.387,0.653,3.38,0.0833,0.0645,0.817
ENSDARG00000056695,0.342,0.919,4.59,0.11,0.0889,1.07
ENSDARG00000057272,0.212,0.671,5.39,0.0937,0.0769,1.29
ENSDARG00000057513,0.372,0.518,5.52,0.136,0.0993,1.28
ENSDARG00000057867,0.25,0.563,5.59,0.113,0.0843,1.33
ENSDARG00000060510,0.398,0.977,1.98,0.0438,0.0375,0.529
ENSDARG00000060594,0.33,0.874,6.25,0.13,0.118,1.39
ENSDARG00000061437,0.149,0.511,4.84,0.0759,0.059,1.28
ENSDARG00000061789,0.913,1.42,1.83,0.0473,0.0438,0.499
ENSDARG00000062187,0.264,0.719,7.26,0.121,0.121,1.66
ENSDARG00000062272,0.588,0.787,1.19,0.043,0.0273,0.376
ENSDARG00000062363,0.219,0.585,0.644,0.0206,0.0138,0.271
ENSDARG00000062521,0.142,0.52,3.16,0.0608,0.0448,0.884
ENSDARG00000062695,0.126,0.481,5.55,0.0699,0.0575,1.49
ENSDARG00000063249,0.187,0.624,2.56,0.0565,0.0429,0.687
ENSDARG00000068919,0.138,0.509,4.44,0.0727,0.0529,1.21
ENSDARG00000069328,0.87,0.841,2.34,0.0868,0.0543,0.602
ENSDARG00000070028,0.703,0.821,1.93,0.0566,0.0409,0.527
ENSDARG00000070399,0.188,0.923,2.08,0.0355,0.0343,0.572
ENSDARG00000070432,0.382,0.603,3.31,0.0867,0.0634,0.802
ENSDARG00000070604,0.549,0.28,2.69,0.0867,0.0469,0.687
ENSDARG00000071562,59.2,0.424,1.94,102.0,0.214,1.46
ENSDARG00000071868,0.268,0.739,4.87,0.106,0.0811,1.15
ENSDARG00000074909,1.52,1.4,2.76,0.103,0.0625,0.695
ENSDARG00000074915,0.135,0.474,3.9,0.072,0.0487,1.12
