Transcript ID	Gene name	Poly(A) tags	Mean TL	Median TL	10th %ile, TL	25th %ile, TL	75th %ile, TL	90th %ile, TL	mRNA RPKM	RPF RPKM	log2(TE)
ENSDART00000049448	ERO1LB	65	24.2	22.2	2.6	10.8	35.4	51.7	NA	NA	NA
ENSDART00000125259	melk	218	12.2	7.4	-2.4	2.8	13.2	25.4	13.61	4.08	-1.73802600953
ENSDART00000101274	zgc:153981	1	6.3	6.3	NA	NA	NA	NA	NA	NA	NA
ENSDART00000099479	crfb4	18	21.1	19.2	6.1	6.7	34.6	39.3	NA	NA	NA
ENSDART00000015655	tecrl2	38	34.3	29.7	5.5	14.8	55.9	65.3	NA	NA	NA
ENSDART00000004585	clptm1l	188	34.3	29.6	7.2	16.7	46.5	64.6	18.13	12.96	-0.48431320686
ENSDART00000125251	dnal1	57	22.3	20.0	7.8	10.2	25.5	40.0	NA	NA	NA
ENSDART00000099476	fam174b	99	20.9	18.5	4.7	11.4	28.8	40.4	NA	NA	NA
ENSDART00000099477	rorab	6	11.3	14.1	NA	NA	NA	NA	NA	NA	NA
ENSDART00000039847	chchd4	315	37.9	33.7	11.0	20.5	49.5	73.6	NA	NA	NA
ENSDART00000099473	msi2a	53	31.4	23.2	3.0	14.1	51.2	69.1	NA	NA	NA
ENSDART00000143782	si:ch211-226h8.13	1	10.3	10.3	NA	NA	NA	NA	NA	NA	NA
ENSDART00000109257	RASGRF1	1	37.0	37.0	NA	NA	NA	NA	NA	NA	NA
ENSDART00000083062	ints1	215	58.9	51.6	15.6	29.4	84.8	114.2	11.98	45.42	1.92269979792
ENSDART00000143781	EIF1B	1080	68.4	60.0	22.2	38.4	91.0	125.9	965.44	2190.12	1.18175141273
ENSDART00000109252	nudt5	89	71.5	68.2	17.8	34.5	108.8	130.0	NA	NA	NA
ENSDART00000143784	doc2d	2	10.9	10.9	NA	NA	NA	NA	NA	NA	NA
ENSDART00000083068	mlec	232	53.0	35.9	6.2	13.7	87.0	136.4	59.19	153.73	1.3769733687
ENSDART00000057290	prpf38a	138	39.3	32.2	10.9	18.3	57.1	74.9	124.96	143.67	0.201292482815
ENSDART00000091662	noc2l	150	27.0	23.2	5.7	13.8	37.1	57.5	25.3	39.94	0.658696947862
ENSDART00000109258	ck2b	191	35.7	30.5	4.5	12.8	52.9	77.0	39.56	181.73	2.19968226821
ENSDART00000109259	smarcc1a	338	124.7	131.2	58.8	103.6	155.6	174.2	45.27	287.47	2.66678419441
ENSDART00000003801	crsp7	678	18.3	15.3	3.9	8.3	24.5	38.2	NA	NA	NA
ENSDART00000008854	wsb1	188	15.1	12.4	1.2	6.3	21.8	32.4	NA	NA	NA
ENSDART00000079600	minpp1a	12	28.9	28.5	7.9	15.2	40.4	49.0	NA	NA	NA
ENSDART00000146902	tmem106ba	27	47.6	41.4	18.2	28.9	65.4	78.5	NA	NA	NA
ENSDART00000097494	hint2	78	36.7	29.5	12.2	20.4	47.3	71.2	NA	NA	NA
ENSDART00000114148	casc4	138	43.8	40.7	12.5	22.4	61.0	81.6	33.69	17.65	-0.932652244963
ENSDART00000148816	si:ch1073-391i24.1	59	29.6	25.6	6.1	12.9	41.2	54.2	NA	NA	NA
ENSDART00000127907	wu:fc34e06	6	20.5	16.4	NA	NA	NA	NA	NA	NA	NA
ENSDART00000089609	skiv2l	115	24.5	21.2	9.0	15.0	30.8	43.2	13.23	6.19	-1.09580174706
ENSDART00000113304	FRRS1	52	93.7	103.7	16.3	52.6	134.2	151.8	NA	NA	NA
ENSDART00000089603	golga7ba	16	25.0	20.3	8.7	11.9	35.9	45.6	NA	NA	NA
ENSDART00000152096	stra6	67	19.2	14.4	5.8	8.5	25.7	35.8	NA	NA	NA
ENSDART00000144375	fgf11a	9	47.8	45.5	NA	NA	NA	NA	NA	NA	NA
ENSDART00000153218	OXLD1	1	2.0	2.0	NA	NA	NA	NA	NA	NA	NA
ENSDART00000004588	asic1a	5	19.5	15.3	NA	NA	NA	NA	NA	NA	NA
ENSDART00000127624	nkx6.2	19	20.9	16.4	8.2	13.0	29.2	39.5	NA	NA	NA
ENSDART00000089605	TBC1D8B	106	28.5	24.4	6.5	17.5	36.2	53.7	NA	NA	NA
ENSDART00000131048	si:ch211-113a14.26	17	4.9	3.1	-7.7	-0.6	11.1	18.0	NA	NA	NA
ENSDART00000085150	EML6	6	22.4	15.2	NA	NA	NA	NA	NA	NA	NA
ENSDART00000101319	zgc:162396	25	38.2	31.9	11.1	17.1	43.8	85.0	NA	NA	NA
ENSDART00000128334	lpcat2	2	17.9	17.9	NA	NA	NA	NA	NA	NA	NA
ENSDART00000131046	CU694324.1	13	18.7	19.3	5.4	10.2	26.2	30.3	NA	NA	NA
ENSDART00000034109	coq3	280	20.2	16.7	4.5	9.8	26.0	40.8	NA	NA	NA
ENSDART00000131042	ildr1a	367	29.1	23.7	6.3	13.0	40.5	56.4	34.87	40.9	0.230114479052
ENSDART00000104999	ccdc85ca	10	18.8	23.8	3.5	10.0	28.1	30.3	NA	NA	NA
ENSDART00000099782	mrpl14	263	17.8	15.3	5.6	9.7	21.5	33.4	NA	NA	NA
ENSDART00000006983	KAT5	89	17.5	14.8	5.4	9.1	25.9	35.7	8.39	5.92	-0.503073634811
ENSDART00000003752	cct3	410	17.8	13.5	2.5	7.0	24.1	38.7	72.22	40.4	-0.838043127309
ENSDART00000078951	MANEAL	14	19.3	13.3	8.9	10.0	24.9	37.1	NA	NA	NA
ENSDART00000110005	cdhr1a	1	55.5	55.5	NA	NA	NA	NA	NA	NA	NA
ENSDART00000126608	fam60a	10	22.5	21.1	8.2	10.7	27.6	44.9	NA	NA	NA
ENSDART00000054015	gpc2	3	24.2	12.2	NA	NA	NA	NA	NA	NA	NA
ENSDART00000126694	sepw2b	13	37.1	24.6	11.4	15.5	41.9	83.0	NA	NA	NA
ENSDART00000133576	nmnat1	52	22.8	17.0	6.2	10.6	32.0	47.8	32.5	59.64	0.87584053948
ENSDART00000076807	cnot6l	10	28.5	36.0	6.4	14.3	42.2	47.4	NA	NA	NA
ENSDART00000011936	CCDC106	168	42.2	35.6	9.3	17.4	64.3	86.0	NA	NA	NA
