Zebrafish 4 hpf, mock injected
Genes included in this table either have 1 or more poly(A) tags, or have RPF RPKM > 0 and RNA RPM > 10.0 for samples with mRNA-Seq and ribosome profiling data
Transcript ID	Gene name	Poly(A) tags	Mean TL	Median TL	10th %ile, TL	25th %ile, TL	75th %ile, TL	90th %ile, TL	mRNA RPKM	RPF RPKM	log2(TE)
ENSDART00000049448	ERO1LB	40	29.5	25.9	5.7	13.8	38.7	54.7	NA	NA	NA
ENSDART00000125259	melk	56	11.9	3.0	-9.3	-7.8	18.4	33.1	9.63	3.58	-1.42757621058
ENSDART00000032368	si:ch211-259i2.2	2	36.3	36.3	NA	NA	NA	NA	NA	NA	NA
ENSDART00000101274	zgc:153981	2	76.6	76.6	NA	NA	NA	NA	NA	NA	NA
ENSDART00000099479	crfb4	9	45.8	40.6	NA	NA	NA	NA	NA	NA	NA
ENSDART00000015655	tecrl2	38	39.9	36.4	10.7	21.4	52.9	81.2	NA	NA	NA
ENSDART00000004585	clptm1l	105	41.1	38.0	15.7	25.0	54.9	69.4	26.62	12.39	-1.10333438377
ENSDART00000125251	dnal1	16	23.1	26.0	10.3	15.1	32.9	35.9	NA	NA	NA
ENSDART00000099476	fam174b	37	27.0	25.4	8.6	14.4	43.5	47.3	NA	NA	NA
ENSDART00000099477	rorab	3	17.2	21.9	NA	NA	NA	NA	NA	NA	NA
ENSDART00000039847	chchd4	209	30.2	24.7	11.8	16.5	38.5	55.4	NA	NA	NA
ENSDART00000099473	msi2a	40	48.8	46.5	14.5	24.0	69.0	89.2	NA	NA	NA
ENSDART00000143782	si:ch211-226h8.13	1	-0.8	-0.8	NA	NA	NA	NA	NA	NA	NA
ENSDART00000109257	RASGRF1	1	53.8	53.8	NA	NA	NA	NA	NA	NA	NA
ENSDART00000083062	ints1	160	91.8	96.0	47.4	67.1	117.6	136.4	12.87	42.43	1.72107262507
ENSDART00000143781	EIF1B	1349	92.8	94.4	33.1	62.0	122.4	147.5	1076.06	3318.12	1.62460753906
ENSDART00000109252	nudt5	108	46.9	37.4	12.5	21.5	67.8	99.2	NA	NA	NA
ENSDART00000143784	doc2d	2	22.0	22.0	NA	NA	NA	NA	NA	NA	NA
ENSDART00000083068	mlec	259	49.2	44.3	8.8	19.7	70.7	102.9	43.31	79.31	0.872802610811
ENSDART00000057290	prpf38a	139	65.0	58.6	28.5	38.0	85.6	116.9	95.69	178.9	0.902713317276
ENSDART00000091662	noc2l	46	61.7	62.8	18.8	38.2	79.8	113.6	15.6	54.97	1.81709845029
ENSDART00000109258	ck2b	146	86.0	89.3	24.8	50.2	117.1	135.1	35.76	276.13	2.94892899566
ENSDART00000109259	smarcc1a	661	103.4	104.8	61.6	83.7	124.1	142.8	43.69	252.39	2.53027973922
ENSDART00000003801	crsp7	294	28.5	25.3	7.9	15.5	38.9	51.8	NA	NA	NA
ENSDART00000008854	wsb1	31	58.7	33.0	1.6	10.3	90.4	183.9	NA	NA	NA
ENSDART00000079600	minpp1a	7	50.5	46.5	NA	NA	NA	NA	NA	NA	NA
ENSDART00000146902	tmem106ba	39	52.0	44.8	14.9	24.4	62.7	99.5	NA	NA	NA
ENSDART00000097494	hint2	27	57.9	56.1	18.3	45.8	77.1	85.2	NA	NA	NA
ENSDART00000114148	casc4	81	71.4	71.1	31.7	44.3	97.7	115.2	29.0	22.28	-0.380303667562
ENSDART00000148816	si:ch1073-391i24.1	21	43.3	45.3	10.4	26.1	64.7	71.3	NA	NA	NA
ENSDART00000127907	wu:fc34e06	1	64.5	64.5	NA	NA	NA	NA	NA	NA	NA
ENSDART00000089609	skiv2l	57	58.2	54.6	24.4	33.4	87.3	94.7	14.66	19.65	0.422644209012
ENSDART00000113304	FRRS1	52	78.1	80.5	26.9	53.1	100.5	124.3	NA	NA	NA
ENSDART00000089603	golga7ba	9	69.4	67.6	NA	NA	NA	NA	NA	NA	NA
ENSDART00000152096	stra6	47	28.8	24.5	9.5	15.0	38.1	47.9	NA	NA	NA
ENSDART00000144375	fgf11a	8	37.3	27.4	NA	NA	NA	NA	NA	NA	NA
ENSDART00000004588	asic1a	2	25.7	25.7	NA	NA	NA	NA	NA	NA	NA
ENSDART00000127624	nkx6.2	7	16.4	16.9	NA	NA	NA	NA	NA	NA	NA
ENSDART00000089605	TBC1D8B	66	37.2	32.1	13.1	23.3	49.9	71.7	NA	NA	NA
ENSDART00000125253	MAPK8IP1	1	27.2	27.2	NA	NA	NA	NA	NA	NA	NA
ENSDART00000131048	si:ch211-113a14.26	8	17.6	-0.1	NA	NA	NA	NA	NA	NA	NA
ENSDART00000101319	zgc:162396	9	38.4	32.0	NA	NA	NA	NA	NA	NA	NA
ENSDART00000128334	lpcat2	1	51.2	51.2	NA	NA	NA	NA	NA	NA	NA
ENSDART00000131046	CU694324.1	5	56.0	25.1	NA	NA	NA	NA	NA	NA	NA
ENSDART00000034109	coq3	81	31.6	25.5	6.4	11.1	47.1	60.8	NA	NA	NA
ENSDART00000131042	ildr1a	172	31.1	25.4	10.0	17.5	39.1	56.7	21.68	15.12	-0.519906617133
ENSDART00000078958	vmhcl	2	121.2	121.2	NA	NA	NA	NA	NA	NA	NA
ENSDART00000099782	mrpl14	113	34.3	30.1	12.4	20.9	42.7	52.6	NA	NA	NA
ENSDART00000006983	KAT5	44	35.4	32.4	12.0	19.3	47.4	58.2	9.64	6.45	-0.579733985919
ENSDART00000003752	cct3	131	59.4	57.7	12.8	32.2	81.8	100.7	64.68	113.14	0.80671749217
ENSDART00000078951	MANEAL	10	31.6	27.8	10.1	14.3	37.7	66.1	NA	NA	NA
ENSDART00000110005	cdhr1a	2	14.3	14.3	NA	NA	NA	NA	NA	NA	NA
ENSDART00000126608	fam60a	4	40.7	39.1	NA	NA	NA	NA	NA	NA	NA
ENSDART00000054015	gpc2	2	22.6	22.6	NA	NA	NA	NA	NA	NA	NA
ENSDART00000126694	sepw2b	4	47.0	46.9	NA	NA	NA	NA	NA	NA	NA
ENSDART00000133576	nmnat1	34	42.6	39.4	10.0	23.3	59.1	78.0	35.99	81.24	1.17459413737
ENSDART00000076807	cnot6l	9	51.6	46.9	NA	NA	NA	NA	NA	NA	NA
ENSDART00000011936	CCDC106	138	29.7	21.2	7.9	12.9	36.4	59.8	NA	NA	NA
ENSDART00000011931	ruvbl1	290	43.3	40.7	12.3	26.2	56.9	73.0	77.72	169.31	1.12330937998
ENSDART00000076800	znhit1	77	23.7	18.6	5.9	9.5	28.4	46.0	NA	NA	NA
ENSDART00000152193	mms19	69	39.9	38.4	6.9	21.0	55.0	76.5	12.84	24.02	0.903590948583
ENSDART00000121795	nfixa	3	12.4	6.1	NA	NA	NA	NA	NA	NA	NA
ENSDART00000062324	h2afvb	2325	124.9	130.1	76.3	107.2	147.1	164.4	306.17	3085.36	3.33303400022
ENSDART00000046045	il6st	5	79.0	83.2	NA	NA	NA	NA	NA	NA	NA
ENSDART00000024832	stat5.1	1	52.6	52.6	NA	NA	NA	NA	NA	NA	NA
ENSDART00000083066	asphd2	12	43.6	27.6	16.2	16.9	53.6	82.5	NA	NA	NA
ENSDART00000050831	chac2	31	34.0	21.7	12.9	16.3	34.9	64.6	NA	NA	NA
ENSDART00000129356	CR478286.1	87	41.3	35.7	14.2	21.0	51.7	78.2	35.25	37.59	0.0927256578695
ENSDART00000052097	hrsp12	28	55.9	55.1	29.8	40.2	70.9	83.7	NA	NA	NA
ENSDART00000128595	pola1	79	34.8	31.7	8.1	13.9	52.1	64.3	20.65	25.74	0.317870271914
ENSDART00000049918	trim35-27	33	47.7	37.4	13.0	22.9	71.9	103.5	NA	NA	NA
ENSDART00000128590	rdh5	1	38.8	38.8	NA	NA	NA	NA	NA	NA	NA
ENSDART00000131625	NISCH	21	36.3	30.3	12.1	17.0	42.3	76.8	NA	NA	NA
ENSDART00000139037	pgls	68	24.5	23.2	6.3	12.1	31.5	48.1	NA	NA	NA
ENSDART00000128841	pip5k1cb	3	33.2	35.9	NA	NA	NA	NA	NA	NA	NA
ENSDART00000128599	CR352229.2	37	63.4	50.5	9.2	17.6	95.8	145.4	NA	NA	NA
ENSDART00000139033	lrp1bb	2	78.5	78.5	NA	NA	NA	NA	NA	NA	NA
ENSDART00000128845	pla2g12a	7	38.1	32.6	NA	NA	NA	NA	NA	NA	NA
ENSDART00000087835	ano6	2	3.9	3.9	NA	NA	NA	NA	NA	NA	NA
ENSDART00000113036	zgc:163143	73	18.1	16.2	1.2	6.0	28.4	39.1	NA	NA	NA
ENSDART00000087297	pi15b	1	101.4	101.4	NA	NA	NA	NA	NA	NA	NA
ENSDART00000145789	fbxo41	4	70.0	51.2	NA	NA	NA	NA	NA	NA	NA
ENSDART00000026017	bhlhe40	1	11.5	11.5	NA	NA	NA	NA	NA	NA	NA
ENSDART00000114022	slitrk5b	1	15.3	15.3	NA	NA	NA	NA	NA	NA	NA
ENSDART00000005985	smo	9	48.4	43.7	NA	NA	NA	NA	NA	NA	NA
ENSDART00000098788	sema6dl	17	141.4	141.3	68.6	120.0	183.5	195.6	NA	NA	NA
ENSDART00000005989	dffb	18	33.4	29.6	18.0	25.8	36.7	49.4	NA	NA	NA
ENSDART00000110224	MON1B	128	33.7	31.4	5.2	13.8	48.2	62.7	NA	NA	NA
ENSDART00000100698	ercc8	41	65.1	61.0	31.3	47.9	84.2	113.6	22.38	12.83	-0.802688865887
ENSDART00000007079	asna1	188	55.4	54.3	20.0	33.5	77.3	94.5	51.6	104.48	1.01778383124
ENSDART00000124124	TGIF2	79	30.3	25.5	-9.5	0.1	55.3	68.1	28.68	593.19	4.37037734788
ENSDART00000124127	CU179643.1	1	80.3	80.3	NA	NA	NA	NA	NA	NA	NA
ENSDART00000050863	zgc:101858	10	32.9	17.4	7.5	10.5	47.7	82.6	NA	NA	NA
ENSDART00000098433	trpm7	226	59.6	56.7	20.3	36.6	77.5	102.3	26.95	7.48	-1.84917509775
ENSDART00000081966	rtn4a	848	38.0	29.5	8.6	15.6	51.0	81.7	78.65	123.7	0.653326829561
ENSDART00000081969	zgc:123349	12	65.8	69.6	10.2	41.3	86.2	119.1	NA	NA	NA
ENSDART00000080062	CR954145.1	10	18.2	16.7	8.5	10.8	25.9	28.2	NA	NA	NA
ENSDART00000149520	mcl1b	285	49.5	38.8	8.3	18.0	70.1	106.1	149.81	214.73	0.519389836021
ENSDART00000149521	eef2k	1	133.1	133.1	NA	NA	NA	NA	NA	NA	NA
ENSDART00000098439	ube2d4	32	32.8	29.7	5.7	22.4	42.2	58.4	NA	NA	NA
ENSDART00000098438	spg7	37	37.0	31.2	6.1	16.8	51.3	73.7	21.89	21.01	-0.0591957925079
ENSDART00000090200	snapin	22	36.0	35.8	12.4	24.8	47.0	54.9	NA	NA	NA
ENSDART00000103845	eno4	2	38.1	38.1	NA	NA	NA	NA	NA	NA	NA
ENSDART00000090757	kat2b	2	76.5	76.5	NA	NA	NA	NA	NA	NA	NA
ENSDART00000090754	C18H16orf70	63	61.3	43.1	15.5	24.0	78.1	127.3	NA	NA	NA
ENSDART00000099021	dock8	18	24.0	19.3	5.7	12.2	28.0	45.4	NA	NA	NA
ENSDART00000063329	cux1b	29	61.2	53.7	14.0	34.0	74.5	114.3	13.46	19.24	0.51543038916
ENSDART00000113966	im:7141269	1	45.5	45.5	NA	NA	NA	NA	NA	NA	NA
ENSDART00000063492	ppm1ab	108	32.3	25.7	9.8	17.7	41.6	56.5	NA	NA	NA
ENSDART00000087740	C11H1orf106	1	12.9	12.9	NA	NA	NA	NA	NA	NA	NA
ENSDART00000067666	tmed7	201	41.1	33.9	11.7	20.6	58.7	80.3	39.99	19.48	-1.03764560373
ENSDART00000105064	TXNDC16	3	33.9	38.4	NA	NA	NA	NA	NA	NA	NA
ENSDART00000015277	gpx1b	20	53.9	50.3	23.0	32.1	67.5	90.3	NA	NA	NA
ENSDART00000113964	POLR2E	10	24.2	23.3	8.6	13.9	34.1	37.4	NA	NA	NA
ENSDART00000105168	si:ch211-133n4.4	7	124.8	125.6	NA	NA	NA	NA	NA	NA	NA
ENSDART00000149938	fes	2	16.5	16.5	NA	NA	NA	NA	NA	NA	NA
ENSDART00000101601	cth1	2214	32.5	26.2	7.3	14.2	45.0	66.6	258.87	397.11	0.617310907706
