GeneID,TranscriptID,GeneName,2 hpf,4 hpf,6 hpf
ENSDARG00000021048,ENSDART00000004585,clptm1l,34.3,41.1,38.5
ENSDARG00000033376,ENSDART00000039847,chchd4,37.9,30.2,52.0
ENSDARG00000016867,ENSDART00000021462,rnf128a,58.5,36.6,53.9
ENSDARG00000034633,ENSDART00000041394,emc9,11.0,19.5,41.2
ENSDARG00000077664,ENSDART00000007642,zgc:110239,36.1,43.9,40.9
ENSDARG00000060380,ENSDART00000085009,coq6,17.3,16.9,34.3
ENSDARG00000040059,ENSDART00000058587,gbp,83.5,46.6,47.6
ENSDARG00000014348,ENSDART00000003482,stk17b,20.0,25.2,52.7
ENSDARG00000099918,ENSDART00000031535,arl4aa,23.7,26.2,71.7
ENSDARG00000068575,ENSDART00000135215,tmem51a,26.2,31.4,41.9
ENSDARG00000070085,ENSDART00000102571,mettl6,32.1,41.7,65.8
ENSDARG00000035880,ENSDART00000052091,atp6v1c1b,22.4,24.6,15.2
ENSDARG00000036784,ENSDART00000053414,commd7,29.3,43.6,52.1
ENSDARG00000007603,ENSDART00000031234,stxbp2,25.8,23.5,91.8
ENSDARG00000071031,ENSDART00000075184,snx1a,29.0,26.5,43.3
ENSDARG00000036291,ENSDART00000052703,nucb2b,19.7,28.4,24.3
ENSDARG00000005128,ENSDART00000015377,rnaseh2b,16.2,30.7,65.2
ENSDARG00000101669,ENSDART00000111938,elmod2,21.9,31.4,57.2
ENSDARG00000051956,ENSDART00000073676,isca1,28.9,45.5,52.0
ENSDARG00000008807,ENSDART00000144890,bokb,48.4,37.1,45.3
ENSDARG00000035868,ENSDART00000078066,spire1a,32.3,33.6,32.6
ENSDARG00000042571,ENSDART00000062441,rnaseh1,39.3,28.1,55.7
ENSDARG00000042336,ENSDART00000101161,impdh1a,22.6,35.7,36.7
ENSDARG00000018411,ENSDART00000123257,mknk1,81.3,53.6,43.8
ENSDARG00000010596,ENSDART00000019991,slc7a6os,13.3,31.6,66.3
ENSDARG00000034975,ENSDART00000054337,gpr157,27.2,21.3,48.9
ENSDARG00000052419,ENSDART00000097864,ankrd12,17.0,20.5,84.0
ENSDARG00000003927,ENSDART00000025877,cldn12,34.7,43.4,30.9
ENSDARG00000017757,ENSDART00000009076,pik3cg,45.5,31.1,22.1
ENSDARG00000010782,ENSDART00000018036,zgc:55621,24.5,50.4,40.6
ENSDARG00000029071,ENSDART00000048383,creld2,31.1,45.5,33.0
ENSDARG00000105009,ENSDART00000136573,ddah2,14.7,21.1,38.3
ENSDARG00000035427,ENSDART00000138116,surf6,13.8,32.3,54.6
ENSDARG00000025576,ENSDART00000036354,mkln1,76.3,33.6,12.8
ENSDARG00000005456,ENSDART00000014632,katnb1,76.7,33.1,43.5
ENSDARG00000038789,ENSDART00000056649,tmem53,21.7,25.5,98.6
ENSDARG00000006370,ENSDART00000145681,atp6v1h,27.4,40.2,65.6
ENSDARG00000056549,ENSDART00000078140,vps26a,21.4,27.2,51.4
ENSDARG00000042793,ENSDART00000149600,tpp1,35.6,46.7,43.8
ENSDARG00000055075,ENSDART00000066331,svila,13.2,20.9,33.1
ENSDARG00000043873,ENSDART00000151847,arid4a,24.5,27.1,50.8
ENSDARG00000034825,ENSDART00000043802,uspl1,38.9,27.3,79.7
ENSDARG00000012390,ENSDART00000023293,kcnk5b,26.4,46.6,43.5
ENSDARG00000100825,ENSDART00000050308,calm3a,69.4,,
ENSDARG00000038133,ENSDART00000126230,zgc:113411,18.5,37.4,34.4
ENSDARG00000075333,ENSDART00000083605,tbc1d25,32.6,34.9,26.4
ENSDARG00000061375,ENSDART00000111567,sgpl1,23.6,25.5,59.3
ENSDARG00000034443,ENSDART00000050478,mpped2,25.0,25.3,47.8
ENSDARG00000062237,ENSDART00000089747,nfs1,29.2,31.6,35.2
ENSDARG00000078894,ENSDART00000113157,hemk1,11.7,22.2,26.7
ENSDARG00000006791,ENSDART00000148660,arntl1a,21.7,28.9,74.3
ENSDARG00000022718,ENSDART00000144195,casp8ap2,21.9,36.1,52.9
ENSDARG00000011770,ENSDART00000041992,dhrs12,17.9,37.2,40.1
ENSDARG00000027749,ENSDART00000037906,hirip3,21.0,32.3,95.7
ENSDARG00000042658,ENSDART00000062569,acad8,32.4,31.9,33.3
ENSDARG00000043713,ENSDART00000064194,asf1bb,17.3,26.0,65.0
ENSDARG00000019487,ENSDART00000026313,tmx1,18.7,22.6,61.9
ENSDARG00000057719,ENSDART00000127841,atl2,38.7,34.3,57.6
ENSDARG00000101060,ENSDART00000129076,acrc,19.0,22.3,65.9
ENSDARG00000071872,ENSDART00000106658,zdhhc15b,33.2,37.3,93.0
ENSDARG00000014324,ENSDART00000131782,sh2d5,34.3,18.6,19.7
ENSDARG00000020621,ENSDART00000137128,ap1b1,28.4,31.9,49.8
ENSDARG00000057626,ENSDART00000135508,josd2,15.5,25.7,44.8
ENSDARG00000069251,ENSDART00000100620,si:dkeyp-50f7.2,,,
ENSDARG00000102736,ENSDART00000027424,sars2,31.3,46.6,29.8
ENSDARG00000009771,ENSDART00000016219,ppme1,42.7,27.6,59.3
ENSDARG00000062970,ENSDART00000102197,fam129ba,51.6,24.3,48.8
ENSDARG00000054208,ENSDART00000076362,phkg2,35.8,32.5,73.8
ENSDARG00000026400,ENSDART00000128350,rad51d,41.7,32.0,
ENSDARG00000013117,ENSDART00000012191,hiat1a,26.4,32.7,56.3
ENSDARG00000099642,ENSDART00000125223,dcun1d1,44.9,31.7,59.5
ENSDARG00000018002,ENSDART00000017962,eci1,32.0,37.0,56.0
ENSDARG00000040161,ENSDART00000058742,zgc:92287,32.6,25.6,28.9
ENSDARG00000036645,ENSDART00000053222,rcbtb1,25.1,30.0,42.8
ENSDARG00000015856,ENSDART00000021145,slc25a40,30.0,37.6,49.7
ENSDARG00000053459,ENSDART00000075497,rybpb,23.4,32.0,75.3
ENSDARG00000037405,ENSDART00000054428,zgc:112083,39.5,33.1,37.4
ENSDARG00000069118,ENSDART00000100324,ppp2r5eb,28.2,30.9,60.8
ENSDARG00000055989,ENSDART00000078401,tmem161b,41.4,28.5,71.7
ENSDARG00000076214,ENSDART00000110060,zgc:165514,26.1,,
ENSDARG00000007885,ENSDART00000020946,fancl,22.5,23.3,12.5
ENSDARG00000039616,ENSDART00000057886,cenpk,19.2,32.7,67.9
ENSDARG00000022254,ENSDART00000029451,prkcbb,25.9,33.7,31.9
ENSDARG00000022652,ENSDART00000123304,psmf1,41.1,28.9,46.6
ENSDARG00000044038,ENSDART00000064655,zbtb2a,18.2,25.0,55.5
ENSDARG00000044039,ENSDART00000064657,stx11a,15.4,23.1,12.2
ENSDARG00000008395,ENSDART00000012820,snupn,84.1,28.8,43.9
ENSDARG00000012051,ENSDART00000025198,mettl21a,25.8,34.2,57.8
ENSDARG00000092651,ENSDART00000135032,si:dkey-57a22.11,31.9,31.0,72.6
ENSDARG00000101543,ENSDART00000005653,strumpellin,43.0,33.9,36.6
ENSDARG00000045416,ENSDART00000066783,mppe1,32.9,33.2,49.4
ENSDARG00000010655,ENSDART00000148285,ppm1k,12.5,35.6,77.6
ENSDARG00000037176,ENSDART00000123117,ggh,33.7,38.0,31.5
ENSDARG00000063295,ENSDART00000149823,myh9a,27.0,37.5,38.7
ENSDARG00000057679,ENSDART00000141808,sh2b1,20.6,27.3,87.0
ENSDARG00000020079,ENSDART00000123343,neil3,28.6,33.8,48.1
ENSDARG00000040513,ENSDART00000059298,zgc:92313,20.1,29.2,51.8
ENSDARG00000024877,ENSDART00000036680,ptgr1,24.5,40.2,34.2
ENSDARG00000006963,ENSDART00000013203,cse1l,12.0,20.2,78.6
ENSDARG00000055622,ENSDART00000078012,zgc:153345,14.2,13.9,
ENSDARG00000039850,ENSDART00000058289,dusp22b,42.7,21.4,55.1
ENSDARG00000044298,ENSDART00000065036,phax,20.0,22.7,35.2
ENSDARG00000059983,ENSDART00000084009,zufsp,10.6,15.9,60.4
ENSDARG00000041689,ENSDART00000019636,usf1,29.3,38.2,82.5
ENSDARG00000010047,ENSDART00000003518,neu3.2,26.0,41.1,31.1
ENSDARG00000056532,ENSDART00000027697,serinc2,62.3,53.1,44.1
ENSDARG00000039125,ENSDART00000029824,map4k5,87.2,47.8,50.6
ENSDARG00000018432,ENSDART00000128974,m6pr,43.9,37.6,65.8
ENSDARG00000044562,ENSDART00000036456,cycsb,28.9,44.4,63.6
ENSDARG00000045605,ENSDART00000067056,ticrr,26.3,31.0,113.8
ENSDARG00000025948,ENSDART00000133388,mlh1,29.4,31.4,100.1
ENSDARG00000078326,ENSDART00000109314,arhgap10,17.8,23.5,22.8
ENSDARG00000019160,ENSDART00000099723,sh3bp5la,63.0,43.3,48.7
ENSDARG00000069099,ENSDART00000100276,tmco1,29.3,33.4,60.7
ENSDARG00000036090,ENSDART00000052393,pard6gb,21.7,24.4,54.2
ENSDARG00000026799,ENSDART00000038955,suv39h1a,46.0,39.8,112.2
ENSDARG00000016143,ENSDART00000017075,xiap,18.2,27.5,63.4
ENSDARG00000009724,ENSDART00000124968,rpn2,27.5,,
ENSDARG00000043555,ENSDART00000063944,tmem30ab,61.5,35.5,55.9
ENSDARG00000098647,ENSDART00000021985,ankdd1a,94.3,29.4,24.5
ENSDARG00000039613,ENSDART00000127666,poll,24.5,33.2,50.3
ENSDARG00000027501,ENSDART00000006021,usp20,55.5,31.5,52.1
ENSDARG00000008454,ENSDART00000098904,cpeb1b,68.2,30.2,20.7
ENSDARG00000007764,ENSDART00000067048,klhdc10,50.7,36.0,38.7
ENSDARG00000041362,ENSDART00000060628,chmp7,36.7,23.7,31.0
ENSDARG00000099079,ENSDART00000044162,aclya,30.7,33.1,72.3
ENSDARG00000004130,ENSDART00000006673,mvk,19.5,31.6,50.0
ENSDARG00000031681,ENSDART00000147439,atp6v0b,14.6,22.7,75.1
ENSDARG00000003820,ENSDART00000099040,nr1d2a,12.9,57.6,
ENSDARG00000013058,ENSDART00000048859,ascc2,27.0,31.9,57.8
ENSDARG00000008808,ENSDART00000017268,eml2,48.3,26.7,22.6
ENSDARG00000034957,ENSDART00000050729,hddc2,41.4,40.1,42.0
ENSDARG00000002127,ENSDART00000141170,stam,91.9,40.7,56.4
ENSDARG00000015425,ENSDART00000141177,slc24a4a,17.5,22.9,14.1
ENSDARG00000019062,ENSDART00000145852,arpc5b,16.8,26.1,47.8
ENSDARG00000069920,ENSDART00000146764,cox17,26.6,30.2,35.2
ENSDARG00000014161,ENSDART00000015780,ercc4,27.9,37.6,75.7
ENSDARG00000014361,ENSDART00000013839,tmbim4,29.6,38.3,42.9
ENSDARG00000039208,ENSDART00000138488,nasp,27.6,40.3,69.6
ENSDARG00000031044,ENSDART00000098850,lipg,14.7,16.0,19.5
ENSDARG00000038720,ENSDART00000132621,si:ch211-14a17.7,22.2,44.8,38.6
ENSDARG00000058068,ENSDART00000080877,tnfsf10l4,15.4,21.4,
ENSDARG00000028379,ENSDART00000134293,trub2,20.8,29.4,66.5
ENSDARG00000037491,ENSDART00000054591,bmp15,15.4,19.8,21.2
ENSDARG00000038687,ENSDART00000134122,nfkb2,13.8,20.2,62.1
ENSDARG00000057738,ENSDART00000080465,hells,21.8,29.9,97.7
ENSDARG00000041243,ENSDART00000060442,setdb1a,17.3,25.4,51.3
ENSDARG00000037433,ENSDART00000054476,fmr1,36.8,40.9,43.7
ENSDARG00000101300,ENSDART00000134724,ssna1,11.3,12.7,25.6
ENSDARG00000036868,ENSDART00000053534,tbpl1,19.3,23.4,42.7
ENSDARG00000074656,ENSDART00000112116,ctssb.1,14.5,20.9,60.4
ENSDARG00000063646,ENSDART00000093187,lnpa,28.2,36.4,42.7
ENSDARG00000045139,ENSDART00000066380,ca7,26.0,32.6,30.8
ENSDARG00000100850,ENSDART00000080114,rnf103,62.7,34.7,56.4
ENSDARG00000057138,ENSDART00000079645,zgc:174164,10.9,21.8,74.6
ENSDARG00000042894,ENSDART00000047069,tyms,58.2,31.9,43.5
ENSDARG00000052842,ENSDART00000074768,ppifb,22.0,26.3,26.5
ENSDARG00000054578,ENSDART00000058955,arl6ip1,13.9,33.6,49.5
ENSDARG00000036335,ENSDART00000052789,c1galt1c1,27.2,46.7,66.5
ENSDARG00000046127,ENSDART00000067814,tk2,34.0,31.3,22.4
ENSDARG00000005454,ENSDART00000002750,tacc3,11.1,15.2,56.9
ENSDARG00000056121,ENSDART00000151950,serac1,40.4,23.2,-5.3
ENSDARG00000054833,ENSDART00000077089,nucb1,21.2,35.4,38.2
ENSDARG00000056515,ENSDART00000079019,spsb1,20.7,26.1,48.4
ENSDARG00000029695,ENSDART00000039693,pgp,22.6,26.0,48.5
ENSDARG00000011727,ENSDART00000015393,b9d1,17.6,20.3,62.6
ENSDARG00000001452,ENSDART00000001678,adam8a,86.3,45.8,91.2
ENSDARG00000037276,ENSDART00000133937,map9,28.2,44.5,92.4
ENSDARG00000056871,ENSDART00000079437,ap4m1,12.7,21.8,86.4
ENSDARG00000093622,ENSDART00000059308,spc24,37.0,39.9,82.0
ENSDARG00000054312,ENSDART00000076479,slc38a6,15.6,20.6,27.1
ENSDARG00000004470,ENSDART00000023814,prkcsh,34.8,50.1,45.0
ENSDARG00000004460,ENSDART00000034935,desi2,91.2,72.7,36.2
ENSDARG00000020241,ENSDART00000025487,icmt,34.9,30.4,34.6
