GeneID,GeneName,Egg,1Cell,16Cells,128c,3.5hpf,5.3hpf
ENSDARG00000040453,wdfy2,11.93747,12.77624,19.84511,24.60193,22.25584,8.4904
ENSDARG00000053326,gna11b,42.567,42.5289,65.1436,73.8748,93.3154,19.1436
ENSDARG00000002167,cacnb1,11.9594,11.24529,15.17113,11.28651,10.13833,6.2057
ENSDARG00000010400,lrrfip2,36.369073514,40.120176,78.1898,79.950728,87.369192,16.1882815
ENSDARG00000067920,rab8a,8.57008,14.2803,16.7763,19.707,57.2452,9.61376
ENSDARG00000000747,lcmt2,17.54185,25.00119,19.974503,25.98597,25.457668,5.35699
ENSDARG00000026070,cd82b,91.1185,134.79,226.57,190.277,171.558,18.0312
ENSDARG00000092394,dcun1d4,13.185838,19.79898,31.1128,26.14399,25.00446,1.849642
ENSDARG00000042031,gorab,20.44081,23.75655,43.89566,57.24461,62.588366,33.582393
ENSDARG00000033566,cyp17a1,66.2612,82.3126,97.0113,102.321,84.8548,31.2546
ENSDARG00000018426,aldh7a1,37.8461,35.7147,65.3279,57.6655,47.6116,6.79254
ENSDARG00000070916,dnajc27,17.17355,11.7524,19.46667,11.8195,20.92645,9.25982
ENSDARG00000061095,stk36,8.0142,10.63994,15.4985,20.4957,19.6369,2.87248
ENSDARG00000074533,slc25a38b,38.867899,39.347529,51.28277,47.57452,33.474109,6.2187
ENSDARG00000102995,rbm24a,49.19801,51.19444,54.7722,55.5919,52.71503,19.91954
ENSDARG00000004405,snx10a,42.4564,32.8669,55.7138,86.9344,94.1066,12.3171
ENSDARG00000057374,sfxn3,82.5478,79.1319,91.7865,74.4128,59.5345,7.07488
ENSDARG00000075461,suv420h2,71.6644,66.2159,52.5942,57.3976,69.6686,20.0229
ENSDARG00000037101,mtmr7a,16.0562,15.6891,28.5982,37.8112,24.1463,0.889674
ENSDARG00000054374,alg13,16.59386,29.24789,45.572,51.97762,18.68273,1.82272
ENSDARG00000040635,rnf11b,23.1719,25.7539,31.7617,36.0394,27.8796,10.4936
ENSDARG00000018980,zgc:91890,23.1353,29.1315,35.8351,29.3655,13.1109,2.74472
ENSDARG00000103025,hmgcs1,54.075653,62.8908,115.943,119.889331,130.813319,21.1963
ENSDARG00000006389,smad2,193.120254,258.36074,279.020750452,247.43321,223.841052,31.75715
ENSDARG00000054191,pgk1,19.8214,34.7659,35.2463,52.4054,87.4894,15.1747
ENSDARG00000034668,celf3a,6.89052,12.5716,12.7456,16.083489,18.6227,3.774865
ENSDARG00000034883,acbd5a,12.732921,16.986786,48.11706,47.7643,45.694752,5.1145
ENSDARG00000043213,adam17a,4.28157,5.68818,26.5932,26.8603,35.8687,22.4487
ENSDARG00000062272,afg3l2,4.89614,3.32456,18.434,26.3375,26.202434104,2.47597
ENSDARG00000010862,amt,11.23579,12.69849,56.7012,61.0088,25.09664,2.99565
ENSDARG00000035607,ankle2,7.60013,10.4148,26.51647,34.75264,51.4479,6.57549
ENSDARG00000002298,ankrd22,4.73376,8.23729,35.8255,41.1121,42.9311,6.62209
ENSDARG00000006915,arl8ba,5.90919,7.65488,46.52166,57.13391,41.65744,5.86051
ENSDARG00000062521,atp9b,3.80908,3.060006,17.15908,17.518998,18.27226,2.92968
ENSDARG00000004396,b3gnt5b,3.41849,3.13189,35.6166,41.7645,44.0621,5.07313
ENSDARG00000063522,bbs4,10.7913,2.90809,23.3161,22.308658,8.39413,15.06643
ENSDARG00000006010,bmi1a,10.2902,15.2898,130.062,161.44119,191.246542001,19.280872
ENSDARG00000076290,calr,20.1394,20.3824,80.9634,71.8125,82.1961,51.9817
ENSDARG00000098771,cbx8b,5.63886,4.87842,42.7184,49.6471,52.6681,2.56822
ENSDARG00000062695,ccdc126,6.76965,8.860142,26.5448,25.798,25.314,5.38198
ENSDARG00000036073,cebpg,11.16064,10.9578,121.10423,140.09199,150.71121,42.80788
ENSDARG00000015471,chd1l,4.89868,8.25879,40.6817,51.3249,47.7074,9.5904
ENSDARG00000025788,chp2,15.2827,20.6872,71.9646,79.4534,68.6217,14.835
ENSDARG00000031761,dab2,58.73486,68.2009,210.3851,273.6911,265.4086,75.1721
ENSDARG00000041140,ddb2,3.44322,2.251274,26.83984,32.8679,28.37665,11.3031
ENSDARG00000015088,dnajb11,47.01915,52.4532,120.7094,127.306,127.8522,40.0783
ENSDARG00000099177,dok1b,6.62393,8.2065,21.6699,29.9508,20.3417,1.86104
ENSDARG00000098317,dync1li1,18.25175,15.2965,53.6906,58.1128,53.212415,8.28988
ENSDARG00000028448,edem2,3.04942569,4.6274931,18.82382,30.0198,20.5959,5.80919398
ENSDARG00000016866,fam102ab,19.89117,22.40209,61.8854,60.1279,68.0597,6.40002
ENSDARG00000008573,fam20b,7.5719,6.0162,30.337398,35.02644,32.610174,8.907356
ENSDARG00000010437,fam46c,54.8515,55.03016,230.432,348.031,359.447,53.1021
ENSDARG00000036155,gla,2.41808,1.77472,22.23382,26.30917,20.94502,3.0545
ENSDARG00000004851,hinfp,23.00736,23.80425,129.397,115.6539,100.5006,12.47875
ENSDARG00000042946,hook1,5.49141,7.91319,22.67986,23.40337,21.55445,4.884822
ENSDARG00000018397,hpca,3.69139,4.91304,22.87833,21.12583,21.83207,13.189583
ENSDARG00000061437,inpp5f,14.88096,20.92492,52.0964,52.1367,51.886,8.65149
ENSDARG00000053876,klhl26,2.0515446,2.402279,12.738297,18.604718,19.89322,18.3045
ENSDARG00000022845,lias,1.29553,4.1966,13.4321,17.4939,21.2527,7.82775
ENSDARG00000043177,lsm1,4.31591,5.94806,73.741,104.728,72.7048,4.99585
ENSDARG00000057513,mdm4,48.8207,52.92295,134.8301,142.2368,119.523576,14.012904
ENSDARG00000071562,mtus1a,33.2421,38.62872,89.63245,85.0933,73.411231,3.7978
ENSDARG00000007241,mycb,4.072767,4.36019,25.1685,20.4015,16.2186,4.83577
ENSDARG00000010169,myd88,3.84613,2.31766,33.0351,42.2294,33.6974,4.71117
ENSDARG00000103902,nde1,29.4052,30.6814,102.641,94.4257,97.6567,24.9271
ENSDARG00000070801,opa1,13.10108,17.91725,44.5351,53.09874,45.5976,4.42245
ENSDARG00000062363,phex,17.85603,23.43495,51.86341,58.66585,43.96168,9.47842
ENSDARG00000038805,pigp,6.92451,7.27692,17.22825,11.94675,9.59941,7.44862
ENSDARG00000003250,pik3cd,3.81925,4.56902,32.326,32.4407,23.1001,2.10993
ENSDARG00000086471,pkig,3.98004,4.97736,22.830584,48.8395,56.344667,4.91723
ENSDARG00000052025,pomgnt1,11.9869000377,24.60205,112.10618,92.97311,88.28412,68.7517
ENSDARG00000098689,ptpn23b,3.45684,3.18018,24.7384,33.5524,29.3543,2.13255
ENSDARG00000054799,rfc1,6.835422,9.47003,58.245715,62.048599,54.448894,7.059129
ENSDARG00000033437,rps6ka1,5.099546,5.422877,16.68475,27.403809,29.70146,3.11683
ENSDARG00000035556,rps6ka3a,26.83084,39.9564,96.742,102.9003,107.0332,55.40914
ENSDARG00000032340,serhl,1.30578,3.040615,15.4444,21.3711,16.35853,3.151391
ENSDARG00000021974,sfr1,4.67772,5.70592,25.111108,39.4122,38.6655,14.9512
ENSDARG00000017188,si:ch211-223m11.2,5.49996,4.58896,30.3986,37.7653,26.9865,4.246981
ENSDARG00000069328,si:dkey-12e7.1,3.29709,4.20736,41.5453,43.685,45.1595,5.57117
ENSDARG00000092123,si:dkey-20d21.12,9.8914,9.32153,36.08358,45.27096,26.02022,5.03277
ENSDARG00000043021,slc26a11,4.48572,4.14248,30.5928,35.4529,34.1123,3.00938
ENSDARG00000006240,slc27a1a,15.2866,19.9946,80.9978,73.5405,69.2216,48.3373
ENSDARG00000057272,slc30a9,8.27584,18.44138,54.9041,51.397539,65.5912,9.02284
ENSDARG00000100519,spop,6.76247,9.3909,31.9987,48.30914,52.2782,7.0805
ENSDARG00000018788,st8sia2,4.37474,4.01245,11.3133,16.4888,33.0137,3.24974
ENSDARG00000054501,stambpa,11.23205,11.59846,36.37299,45.7982,45.30166,10.86868
ENSDARG00000030106,stmn4,9.590748,6.92126,20.545109,25.65482,21.86025,18.08701
ENSDARG00000103173,stx8,5.34654,5.636734,27.75974,39.83739,46.658,8.08843
ENSDARG00000034541,tgfbr2,1.525127,1.4384,15.25195,29.05804,33.65146,2.459566
ENSDARG00000070028,tmem41aa,23.34895,20.11805,75.1081,85.892,78.655,23.9253
ENSDARG00000044513,tpst1l,3.50424,3.87561,25.1275,29.3746,29.7375,7.62214
ENSDARG00000009266,uevld,12.2715,17.1847,44.1456,47.198,37.4146,2.47068
ENSDARG00000056414,usp1,103.003,104.04,238.318,205.093554,208.293,98.301461
ENSDARG00000006257,vldlr,29.66926,36.37304,86.80441,149.1666,198.201847,31.44932
ENSDARG00000014474,yipf1,13.84591,13.06403,96.63123,104.8823,107.4793,12.67957
ENSDARG00000070604,zgc:162509,5.13533,6.3262,25.0556000895,29.50330896,25.2974,3.42389
ENSDARG00000075314,zgc:174906,17.42319,21.52764,111.1877,130.957,108.5413,23.31101
ENSDARG00000003017,zgc:55512,50.04339,52.705,307.9716,316.8076,310.3172,88.53524
ENSDARG00000018738,zw10,5.77244,8.69602,57.4441,77.8867,72.4136,6.9295
