group,lib.size,norm.factors,sample_id,time_hpf,fish_strain,temperature,source,time_hpf_standard,source_letter
1,999999.558784,1,SAMEA3892004,5.25,WT_HLF,28.5,White et al.,5.25,White et al.
1,1000000.129743,1,SAMEA3892005,5.25,WT_HLF,28.5,White et al.,5.25,White et al.
1,1000000.408179,1,SAMEA3892006,5.25,WT_HLF,28.5,White et al.,5.25,White et al.
1,1000000.519526,1,SAMEA3892007,5.25,WT_HLF,28.5,White et al.,5.25,White et al.
1,999999.598488,1,SAMEA3892008,5.25,WT_HLF,28.5,White et al.,5.25,White et al.
1,999999.958341,1,SAMEA3892009,24,WT_HLF,28.5,White et al.,24,White et al.
1,1000000.041638,1,SAMEA3892010,24,WT_HLF,28.5,White et al.,24,White et al.
1,1000000.033339,1,SAMEA3892011,24,WT_HLF,28.5,White et al.,24,White et al.
1,1000000.04364,1,SAMEA3892012,24,WT_HLF,28.5,White et al.,24,White et al.
1,1000000.044615,1,SAMEA3892013,24,WT_HLF,28.5,White et al.,24,White et al.
1,1000000.046556,1,SAMEA3892014,30,WT_HLF,28.5,White et al.,30,White et al.
1,1000000.021107,1,SAMEA3892015,30,WT_HLF,28.5,White et al.,30,White et al.
1,1000000.04919,1,SAMEA3892016,30,WT_HLF,28.5,White et al.,30,White et al.
1,999999.975452,1,SAMEA3892017,30,WT_HLF,28.5,White et al.,30,White et al.
1,999999.996395,1,SAMEA3892018,30,WT_HLF,28.5,White et al.,30,White et al.
1,1000000.071197,1,SAMEA3892019,36,WT_HLF,28.5,White et al.,36,White et al.
1,1000000.089268,1,SAMEA3892020,36,WT_HLF,28.5,White et al.,36,White et al.
1,999999.963295,1,SAMEA3892021,36,WT_HLF,28.5,White et al.,36,White et al.
1,1000000.055257,1,SAMEA3892023,36,WT_HLF,28.5,White et al.,36,White et al.
1,1000000.023528,1,SAMEA3892024,36,WT_HLF,28.5,White et al.,36,White et al.
1,1000000.008909,1,SAMEA3892025,48,WT_HLF,28.5,White et al.,48,White et al.
1,1000000.027807,1,SAMEA3892026,48,WT_HLF,28.5,White et al.,48,White et al.
1,1000000.077384,1,SAMEA3892028,48,WT_HLF,28.5,White et al.,48,White et al.
1,1000000.179272,1,SAMEA3892029,48,WT_HLF,28.5,White et al.,48,White et al.
1,1000000.117578,1,SAMEA3892030,48,WT_HLF,28.5,White et al.,48,White et al.
1,999999.89759,1,SAMEA3892031,72,WT_HLF,28.5,White et al.,72,White et al.
1,999999.771865,1,SAMEA3892032,72,WT_HLF,28.5,White et al.,72,White et al.
1,999999.984086,1,SAMEA3892034,72,WT_HLF,28.5,White et al.,72,White et al.
1,1000000.021953,1,SAMEA3892035,72,WT_HLF,28.5,White et al.,72,White et al.
1,999999.992491,1,SAMEA3892036,72,WT_HLF,28.5,White et al.,72,White et al.
1,1000000.042596,1,SAMEA3892037,96,WT_HLF,28.5,White et al.,96,White et al.
1,1000000.022084,1,SAMEA3892038,96,WT_HLF,28.5,White et al.,96,White et al.
1,999999.951036,1,SAMEA3892040,96,WT_HLF,28.5,White et al.,96,White et al.
1,1000000.136878,1,SAMEA3892041,96,WT_HLF,28.5,White et al.,96,White et al.
1,1000000.058379,1,SAMEA3892042,96,WT_HLF,28.5,White et al.,96,White et al.
1,999999.96735,1,SAMEA3892044,120,WT_HLF,28.5,White et al.,120,White et al.
1,999999.922236,1,SAMEA3892045,120,WT_HLF,28.5,White et al.,120,White et al.
1,999999.9422,1,SAMEA3892046,120,WT_HLF,28.5,White et al.,120,White et al.
1,999999.815681,1,SAMEA3892047,120,WT_HLF,28.5,White et al.,120,White et al.
1,1000000.150581,1,SAMEA3892049,120,WT_HLF,28.5,White et al.,120,White et al.
1,999999.803002,1,SAMEA3892050,6,WT_HLF,28.5,White et al.,6,White et al.
1,999999.953752,1,SAMEA3892051,6,WT_HLF,28.5,White et al.,6,White et al.
1,1000000.029772,1,SAMEA3892052,6,WT_HLF,28.5,White et al.,6,White et al.
1,999999.932341,1,SAMEA3892054,6,WT_HLF,28.5,White et al.,6,White et al.
1,999999.929709,1,SAMEA3892055,6,WT_HLF,28.5,White et al.,6,White et al.
1,1000000.031177,1,SAMEA3892056,8,WT_HLF,28.5,White et al.,8,White et al.
1,1000000.064887,1,SAMEA3892057,8,WT_HLF,28.5,White et al.,8,White et al.
1,1000000.04804,1,SAMEA3892058,8,WT_HLF,28.5,White et al.,8,White et al.
1,1000000.01051,1,SAMEA3892060,8,WT_HLF,28.5,White et al.,8,White et al.
1,1000000.009353,1,SAMEA3892061,8,WT_HLF,28.5,White et al.,8,White et al.
1,999999.981274,1,SAMEA3892063,16,WT_HLF,28.5,White et al.,16,White et al.
1,999999.967211,1,SAMEA3892064,16,WT_HLF,28.5,White et al.,16,White et al.
1,1000000.043642,1,SAMEA3892065,16,WT_HLF,28.5,White et al.,16,White et al.
1,1000000.075379,1,SAMEA3892066,16,WT_HLF,28.5,White et al.,16,White et al.
1,1000000.047132,1,SAMEA3892067,16,WT_HLF,28.5,White et al.,16,White et al.
1,1000000.006069,1,SAMEA3892069,19,WT_HLF,28.5,White et al.,19,White et al.
1,1000000.01903,1,SAMEA3892070,19,WT_HLF,28.5,White et al.,19,White et al.
1,999999.950169,1,SAMEA3892071,19,WT_HLF,28.5,White et al.,19,White et al.
1,999999.983263,1,SAMEA3892072,19,WT_HLF,28.5,White et al.,19,White et al.
1,1000000.10748,1,SAMEA3892073,19,WT_HLF,28.5,White et al.,19,White et al.
1,1000000.133866,1,SAMEA3892075,4.3,WT_HLF,28.5,White et al.,4.3,White et al.
1,1000000.015632,1,SAMEA3892076,4.3,WT_HLF,28.5,White et al.,4.3,White et al.
1,1000000.147733,1,SAMEA3892077,4.3,WT_HLF,28.5,White et al.,4.3,White et al.
1,1000000.343025,1,SAMEA3892078,4.3,WT_HLF,28.5,White et al.,4.3,White et al.
1,1000000.393882,1,SAMEA3892079,4.3,WT_HLF,28.5,White et al.,4.3,White et al.
1,1000000.164844,1,SAMEA3892081,0.75,WT_HLF,28.5,White et al.,0.75,White et al.
1,999999.630519,1,SAMEA3892082,0.75,WT_HLF,28.5,White et al.,0.75,White et al.
1,1000000.138514,1,SAMEA3892083,0.75,WT_HLF,28.5,White et al.,0.75,White et al.
1,999999.905295,1,SAMEA3892084,0.75,WT_HLF,28.5,White et al.,0.75,White et al.
1,999999.990313,1,SAMEA3892085,0.75,WT_HLF,28.5,White et al.,0.75,White et al.
1,1000000.062435,1,SAMEA3892087,2.25,WT_HLF,28.5,White et al.,2.25,White et al.
1,1000000.094435,1,SAMEA3892088,2.25,WT_HLF,28.5,White et al.,2.25,White et al.
1,999999.977878,1,SAMEA3892089,2.25,WT_HLF,28.5,White et al.,2.25,White et al.
1,1000000.109252,1,SAMEA3892090,2.25,WT_HLF,28.5,White et al.,2.25,White et al.
1,1000000.309185,1,SAMEA3892091,2.25,WT_HLF,28.5,White et al.,2.25,White et al.
1,1000000.008329,1,SAMEA3892093,10.3,WT_HLF,28.5,White et al.,10.3,White et al.
1,999999.995992,1,SAMEA3892094,10.3,WT_HLF,28.5,White et al.,10.3,White et al.
1,999999.982295,1,SAMEA3892095,10.3,WT_HLF,28.5,White et al.,10.3,White et al.
1,1000000.018512,1,SAMEA3892096,10.3,WT_HLF,28.5,White et al.,10.3,White et al.
1,1000000.124598,1,SAMEA3892097,10.3,WT_HLF,28.5,White et al.,10.3,White et al.
1,999999.941586,1,SAMEA3892099,3,WT_HLF,28.5,White et al.,3,White et al.
1,999999.914799,1,SAMEA3892100,3,WT_HLF,28.5,White et al.,3,White et al.
1,1000000.003057,1,SAMEA3892101,3,WT_HLF,28.5,White et al.,3,White et al.
1,1000000.005882,1,SAMEA3892102,3,WT_HLF,28.5,White et al.,3,White et al.
1,999999.98351,1,SAMEA3892104,3,WT_HLF,28.5,White et al.,3,White et al.
1,1000000.361912,1,SAMEA3892105,0,WT_HLF,28.5,White et al.,0,White et al.
1,1000000.221934,1,SAMEA3892106,0,WT_HLF,28.5,White et al.,0,White et al.
1,1000000.436409,1,SAMEA3892107,0,WT_HLF,28.5,White et al.,0,White et al.
1,999999.747077,1,SAMEA3892109,0,WT_HLF,28.5,White et al.,0,White et al.
1,999999.618449,1,SAMEA3892110,0,WT_HLF,28.5,White et al.,0,White et al.
1,999999.874346,1,SRR372787,0.875,WT_TLAB,28.5,Pauli et al.,0.875,Pauli et al.
1,999999.896528,1,SRR372788,0.875,WT_TLAB,28.5,Pauli et al.,0.875,Pauli et al.
1,999999.985386,1,SRR372789,3,WT_TLAB,28.5,Pauli et al.,3,Pauli et al.
1,1000000.011586,1,SRR372790,3,WT_TLAB,28.5,Pauli et al.,3,Pauli et al.
1,1000000.068203,1,SRR372791,4.33,WT_TLAB,28.5,Pauli et al.,4.33,Pauli et al.
1,1000000.004861,1,SRR372792,4.33,WT_TLAB,28.5,Pauli et al.,4.33,Pauli et al.
1,1000000.082433,1,SRR372793,6,WT_TLAB,28.5,Pauli et al.,6,Pauli et al.
1,1000000.138193,1,SRR372794,6,WT_TLAB,28.5,Pauli et al.,6,Pauli et al.
1,999999.986733,1,SRR372795,6,WT_TLAB,28.5,Pauli et al.,6,Pauli et al.
1,1000000.034363,1,SRR372796,10,WT_TLAB,28.5,Pauli et al.,10,Pauli et al.
1,999999.953642,1,SRR372797,10,WT_TLAB,28.5,Pauli et al.,10,Pauli et al.
1,1000000.019601,1,SRR372798,28,WT_TLAB,28.5,Pauli et al.,28,Pauli et al.
1,999999.874754,1,SRR372799,28,WT_TLAB,28.5,Pauli et al.,28,Pauli et al.
1,999999.942392,1,SRR372800,48,WT_TLAB,28.5,Pauli et al.,48,Pauli et al.
1,1000000.051422,1,SRR372801,48,WT_TLAB,28.5,Pauli et al.,48,Pauli et al.
1,999999.926198,1,SRR372802,120,WT_TLAB,28.5,Pauli et al.,120,Pauli et al.
1,1000000.075003,1,SRR372803,120,WT_TLAB,28.5,Pauli et al.,120,Pauli et al.
1,999999.977607,1,DM-Rot_96h_11,96,OBI/WIK,26,JN,82.56,JN
1,1000000.020542,1,DM-Rot_96h_12,96,OBI/WIK,26,JN,82.56,JN
1,999999.989003,1,DM-Rot_96h_13,96,OBI/WIK,26,JN,82.56,JN
1,999999.833391,1,DM-Rot_96h_14,96,OBI/WIK,26,JN,82.56,JN
1,999999.940431,1,DM-Rot_96h_15,96,OBI/WIK,26,JN,82.56,JN
1,1000000.075583,1,DMSO_12h_8,12,OBI/WIK,26,JN,10.32,JN
1,999999.923893,1,DMSO_12h_9,12,OBI/WIK,26,JN,10.32,JN
1,1000000.11949,1,DMSO_24h_34,24,OBI/WIK,26,JN,20.64,JN
