GeneID,TranscriptID,GeneName,2 hpf,4 hpf,6 hpf
ENSDARG00000038876,ENSDART00000134975,zgc:101569,26.1,47.1,37.7
ENSDARG00000040266,ENSDART00000058910,sox19b,31.1,38.0,32.3
ENSDARG00000062272,ENSDART00000089834,afg3l2,20.0,30.9,30.5
ENSDARG00000019791,ENSDART00000013409,prmt3,19.2,58.2,28.4
ENSDARG00000062187,ENSDART00000089622,kif14,42.7,37.4,72.7
ENSDARG00000002021,ENSDART00000022830,pygb,36.1,68.4,45.0
ENSDARG00000033604,ENSDART00000145272,lrpap1,33.1,40.4,49.8
ENSDARG00000015088,ENSDART00000123374,dnajb11,35.7,43.9,32.7
ENSDARG00000009250,ENSDART00000010081,etfb,18.6,49.0,57.9
ENSDARG00000008979,ENSDART00000098578,golga1,26.9,34.9,29.5
ENSDARG00000062363,ENSDART00000090010,phex,14.6,30.5,41.5
ENSDARG00000011466,ENSDART00000007622,lace1a,18.3,29.3,64.0
ENSDARG00000071868,ENSDART00000106654,znf711,26.2,27.9,56.3
ENSDARG00000028448,ENSDART00000033774,edem2,23.6,34.8,31.8
ENSDARG00000043213,ENSDART00000063437,adam17a,51.5,70.1,39.0
ENSDARG00000027689,ENSDART00000055859,pold1,31.5,48.4,43.8
ENSDARG00000014474,ENSDART00000006748,yipf1,33.9,32.6,43.8
ENSDARG00000039892,ENSDART00000058351,gnpnat1,24.1,24.2,58.2
ENSDARG00000098317,ENSDART00000052859,dync1li1,30.8,35.2,61.5
ENSDARG00000062695,ENSDART00000090942,ccdc126,17.5,32.6,66.2
ENSDARG00000026348,ENSDART00000024354,csad,35.2,47.6,84.5
ENSDARG00000062521,ENSDART00000136294,atp9b,23.6,30.2,54.6
ENSDARG00000099177,ENSDART00000073650,dok1b,23.3,26.5,16.8
ENSDARG00000006240,ENSDART00000018908,slc27a1a,50.7,63.6,26.3
ENSDARG00000017037,ENSDART00000079852,ikbkg,15.4,32.6,54.0
ENSDARG00000035181,ENSDART00000050966,slc25a46,29.1,28.9,26.6
ENSDARG00000103902,ENSDART00000055242,nde1,41.4,48.9,61.2
ENSDARG00000018397,ENSDART00000004034,hpca,18.4,34.5,29.5
ENSDARG00000020529,ENSDART00000004031,hacl1,40.3,68.8,24.4
ENSDARG00000022845,ENSDART00000036448,lias,28.5,39.8,42.9
ENSDARG00000055899,ENSDART00000126303,lzic,26.0,28.2,78.7
ENSDARG00000043732,ENSDART00000064215,cops4,28.5,39.9,59.8
ENSDARG00000036073,ENSDART00000052365,cebpg,38.5,37.9,47.3
ENSDARG00000006257,ENSDART00000023766,vldlr,18.7,26.8,19.0
ENSDARG00000105276,ENSDART00000009214,grb2a,20.8,33.4,49.9
ENSDARG00000018788,ENSDART00000013082,st8sia2,29.5,37.0,44.9
ENSDARG00000025788,ENSDART00000008589,chp2,43.0,49.5,26.0
ENSDARG00000100519,ENSDART00000016612,spop,15.8,24.2,26.8
ENSDARG00000101251,ENSDART00000059886,ldha,22.7,27.8,50.0
ENSDARG00000061437,ENSDART00000087604,inpp5f,25.2,28.5,61.0
ENSDARG00000070399,ENSDART00000103257,alg2,25.1,52.3,74.1
ENSDARG00000098689,ENSDART00000151730,ptpn23b,30.3,27.6,20.8
ENSDARG00000060594,ENSDART00000076009,hadhab,34.8,35.6,65.9
ENSDARG00000052025,ENSDART00000130973,pomgnt1,45.7,57.7,31.6
ENSDARG00000039429,ENSDART00000057605,adka,45.6,89.4,74.9
ENSDARG00000098820,ENSDART00000048322,ftr67,24.1,26.4,47.9
ENSDARG00000061789,ENSDART00000088513,gnl1,31.6,48.2,42.4
ENSDARG00000070801,ENSDART00000065103,opa1,42.7,,
ENSDARG00000002298,ENSDART00000028003,ankrd22,23.3,32.2,33.6
ENSDARG00000044513,ENSDART00000065365,tpst1l,27.6,38.0,23.7
ENSDARG00000056695,ENSDART00000142474,phc2a,26.6,34.6,59.3
ENSDARG00000045567,ENSDART00000067004,phpt1,30.6,48.6,45.6
ENSDARG00000034883,ENSDART00000135124,acbd5a,55.1,40.4,61.7
ENSDARG00000042946,ENSDART00000063052,hook1,21.2,35.7,21.6
ENSDARG00000010437,ENSDART00000139174,fam46c,22.6,36.8,21.7
ENSDARG00000023152,ENSDART00000030984,wdr73,19.0,23.6,60.5
